Date,Tmax,Tmin,RH,WindSpeed_2m,SolarRad_MJ,Rainfall_mm,ET0,Kc,ETc,WL_CF_mm,WL_AWD_mm,Irrigation_CF_mm,Irrigation_AWD_mm
2026-01-15,23.59,9.28,72.02,1.8,12.7,0.0,2.0262498239536177,1.05,2.1275623151512986,0.0,44.672437684848695,0.0,0.0
2026-01-16,23.86,7.93,68.98,1.67,13.5,0.0,2.1792687748304727,1.05,2.2882322135719964,0.0,39.1842054712767,0.0,0.0
2026-01-17,24.48,9.42,71.57,1.57,14.39,0.0,2.2980077912774273,1.05,2.4129081808412987,0.0,33.571297290435396,0.0,0.0
2026-01-18,25.9,9.73,69.67,1.34,15.09,0.0,2.4685468054023296,1.05,2.591974145672446,0.0,27.77932314476295,0.0,0.0
2026-01-19,26.0,10.5,67.77,1.4,14.86,0.0,2.513904766145486,1.05,2.63960000445276,0.0,21.939723140310193,0.0,0.0
2026-01-20,27.5,12.5,60.57,1.42,14.03,0.0,2.657339313378444,1.05,2.7902062790473665,0.0,50.0,34.05048313873718,34.05048313873718
2026-01-21,27.17,11.82,60.11,1.66,12.65,0.0,2.5262832809850937,1.05,2.6525974450343486,0.0,44.14740255496565,0.0,0.0
2026-01-22,25.97,11.5,64.98,1.52,13.93,0.0,2.483012931249028,1.05,2.6071635778114794,0.0,38.34023897715417,0.0,0.0
2026-01-23,25.7,11.12,58.37,1.32,15.9,0.0,2.8401244413056634,1.05,2.982130663370947,0.0,32.158108313783224,0.0,0.0
2026-01-24,25.98,10.71,60.77,1.43,15.21,0.0,2.7394763515700844,1.05,2.8764501691485886,0.0,26.081658144634634,0.0,0.0
2026-01-25,26.13,13.55,60.02,1.28,13.75,0.0,2.4723374382021497,1.05,2.595954310112257,0.0,20.285703834522376,0.0,0.0
2026-01-26,27.43,12.6,62.18,1.56,13.4,0.0,2.585274663206114,1.05,2.71453839636642,0.0,50.0,35.628834561844045,35.628834561844045
2026-01-27,26.66,11.61,65.74,1.71,15.69,0.0,2.911515555404052,1.05,3.057091333174255,0.0,43.74290866682574,0.0,0.0
2026-01-28,27.44,11.74,63.45,1.44,16.36,0.0,3.016968814016246,1.05,3.1678172547170584,0.0,37.37509141210868,0.0,0.0
2026-01-29,28.07,13.19,62.47,1.34,15.18,0.0,2.840022505337249,1.05,2.982023630604112,0.0,31.19306778150457,0.0,0.0
2026-01-30,27.79,13.86,68.82,1.7,12.63,0.0,2.3983502716979688,1.05,2.5182677852828674,0.0,25.474799996221705,0.0,0.0
2026-01-31,27.33,11.86,64.39,1.67,15.61,0.0,2.9663005517554573,1.05,3.1146155793432304,0.0,19.160184416878476,30.839815583121524,0.0
2026-02-01,27.13,11.52,62.14,1.86,15.9,0.0,3.1484714953240167,1.05,3.3058950700902177,0.0,12.654289346788257,0.0,0.0
2026-02-02,27.44,11.57,62.19,1.64,15.3,0.0,2.9521124725630172,1.05,3.099718096191168,0.0,6.354571250597089,0.0,0.0
2026-02-03,28.28,11.96,64.07,1.47,16.26,0.0,3.062768644605908,1.05,3.2159070768362032,0.0,-0.0613358262391146,0.0,0.0
