Year,DOY,Tmax,Tmin,RH,WindSpeed_2m,SolarRad_MJ,Rainfall_mm
2026,15,23.59,9.28,72.02,1.8,12.7,0.0
2026,16,23.86,7.93,68.98,1.67,13.5,0.0
2026,17,24.48,9.42,71.57,1.57,14.39,0.0
2026,18,25.9,9.73,69.67,1.34,15.09,0.0
2026,19,26.0,10.5,67.77,1.4,14.86,0.0
2026,20,27.5,12.5,60.57,1.42,14.03,0.0
2026,21,27.17,11.82,60.11,1.66,12.65,0.0
2026,22,25.97,11.5,64.98,1.52,13.93,0.0
2026,23,25.7,11.12,58.37,1.32,15.9,0.0
2026,24,25.98,10.71,60.77,1.43,15.21,0.0
2026,25,26.13,13.55,60.02,1.28,13.75,0.0
2026,26,27.43,12.6,62.18,1.56,13.4,0.0
2026,27,26.66,11.61,65.74,1.71,15.69,0.0
2026,28,27.44,11.74,63.45,1.44,16.36,0.0
2026,29,28.07,13.19,62.47,1.34,15.18,0.0
2026,30,27.79,13.86,68.82,1.7,12.63,0.0
2026,31,27.33,11.86,64.39,1.67,15.61,0.0
2026,32,27.13,11.52,62.14,1.86,15.9,0.0
2026,33,27.44,11.57,62.19,1.64,15.3,0.0
2026,34,28.28,11.96,64.07,1.47,16.26,0.0
2026,35,27.82,13.56,62.6,1.76,13.06,0.0
2026,36,28.92,12.15,55.73,1.8,17.03,0.0
2026,37,26.91,11.37,53.91,1.98,18.65,0.0
2026,38,26.79,10.0,51.52,1.78,17.14,0.0
2026,39,28.21,10.89,52.51,1.64,17.73,0.0
2026,40,27.94,13.28,48.32,1.67,17.81,0.0
2026,41,28.98,11.78,47.52,1.64,16.71,0.0
2026,42,29.67,11.63,47.71,1.66,17.1,0.0
2026,43,30.04,13.07,46.94,1.67,17.98,0.0
2026,44,29.96,13.88,46.14,1.72,18.06,0.0
2026,45,30.5,12.57,48.72,1.77,18.99,0.0
2026,46,30.38,12.84,45.09,1.68,18.97,0.0
2026,47,30.32,13.35,44.1,1.57,19.38,0.0
2026,48,30.92,13.17,49.64,1.67,19.1,0.0
2026,49,32.12,14.11,48.93,1.49,19.48,0.0
2026,50,32.24,14.46,43.23,1.36,16.7,0.0
2026,51,33.47,16.47,42.72,1.62,18.4,0.0
2026,52,33.24,15.72,43.22,1.53,17.3,0.0
2026,53,32.02,17.73,46.51,1.23,14.86,0.0
2026,54,33.77,17.39,52.49,1.21,15.5,0.12
2026,55,31.79,19.16,56.26,1.07,9.5,3.68
2026,56,31.76,17.81,53.83,1.48,16.36,0.63
2026,57,31.9,17.22,42.74,1.29,18.46,0.0
2026,58,32.69,14.57,41.28,1.75,17.5,0.0
2026,59,33.23,14.95,37.9,1.86,19.29,0.0
2026,60,35.09,17.31,56.02,1.79,22.65,0.0
2026,61,33.98,21.09,59.44,1.12,17.49,0.02
2026,62,34.07,18.62,42.39,1.42,20.91,0.02
2026,63,34.04,16.66,39.81,1.26,19.26,0.04
2026,64,34.11,17.57,41.76,1.13,18.08,0.0
2026,65,35.41,19.62,46.98,1.56,18.28,0.0
2026,66,33.78,18.43,65.12,1.96,17.12,0.0
2026,67,34.45,20.18,63.76,1.45,16.04,0.01
2026,68,33.58,21.16,66.25,1.18,12.65,0.05
2026,69,34.04,21.92,60.86,0.73,13.31,0.06
