*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.6.000 -Release  SEP 21, 2026 21:32:41

*RUN   1        : Continuous Flooding (CF)  RICER048 BDAR2601    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : BDAR2601 RI BORO RICE CF VS AWD (ARONGHATA)
 DATA PATH      : C:\DSSAT48\Rice\
 TREATMENT  1   : Continuous Flooding (CF)  RICER048
  
!                                                                                                                                         Soil water content (mm3/mm3) by layer (cm):
!                                                                                                                                           0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS    SWTD    SWXD    ROFC    DRNC    PREC    IR#C    IRRC   LATFC    DTWT   DTWTM    MWTD    TDFD    TDFC    ROFD    ROSD    SW1D    SW2D    SW3D    SW4D    SW5D
 2026 014     0     236     116       0       0       0       0       0       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.380   0.380   0.390   0.400   0.400
 2026 015     1     233     113       0       0       0       0       0       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.320   0.380   0.390   0.400   0.400
 2026 016     2     229     109       0       0       0       0       0       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.292   0.366   0.388   0.400   0.400
 2026 017     3     226     106       0       0       0       0       0       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.255   0.355   0.386   0.399   0.400
 2026 018     4     224     104       0       0       0       0       0       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.252   0.346   0.383   0.399   0.400
 2026 019     5     223     103       0       0       0       0       0       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.251   0.339   0.380   0.398   0.400
 2026 020     6     233     113      20       0       0       1      34       0      60    1000    0.00     0.0     0.0   20.17    2.02   0.411   0.367   0.378   0.397   0.399
 2026 021     7     230     110      20       0       0       1      34       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.330   0.377   0.380   0.397   0.399
 2026 022     8     227     107      20       0       0       1      34       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.292   0.364   0.380   0.396   0.399
 2026 023     9     226     106      20       0       0       1      34       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.289   0.352   0.379   0.396   0.398
 2026 024    10     224     104      20       0       0       1      34       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.287   0.345   0.377   0.395   0.398
 2026 025    11     223     103      20       0       0       1      34       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.284   0.339   0.375   0.395   0.398
 2026 026    12     232     112      44       0       0       2      70       0      60    1000    0.00     0.0     0.0   23.41    2.34   0.414   0.367   0.374   0.394   0.397
 2026 027    13     229     109      44       0       0       2      70       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.321   0.376   0.376   0.393   0.397
 2026 028    14     225     105      44       0       0       2      70       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.292   0.361   0.376   0.393   0.396
 2026 029    15     224     104      44       0       0       2      70       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.288   0.350   0.375   0.393   0.396
 2026 030    16     223     103      44       0       0       2      70       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.285   0.342   0.374   0.392   0.395
 2026 031    17     231     111      62       0       0       3     100       0      60    1000    0.00     0.0     0.0   18.65    1.87   0.404   0.369   0.373   0.392   0.395
 2026 032    18     228     108      62       0       0       3     100       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.320   0.375   0.375   0.391   0.395
 2026 033    19     225     105      62       0       0       3     100       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.296   0.360   0.375   0.391   0.394
 2026 034    20     223     103      62       0       0       3     100       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.291   0.349   0.374   0.391   0.394
 2026 035    21     222     102      62       0       0       3     100       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.287   0.342   0.372   0.390   0.393
 2026 036    22     230     110      82       0       0       4     133       0      60    1000    0.00     0.0     0.0   20.25    2.02   0.395   0.368   0.371   0.390   0.393
 2026 037    23     226     106      82       0       0       4     133       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.310   0.373   0.373   0.390   0.393
 2026 038    24     224     104      82       0       0       4     133       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.295   0.357   0.373   0.389   0.392
 2026 039    25     222     102      82       0       0       4     133       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.289   0.347   0.372   0.389   0.392
 2026 040    26     221     101      82       0       0       4     133       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.285   0.340   0.371   0.389   0.392
 2026 041    27     229     109     106       0       0       5     169       0      60    1000    0.00     0.0     0.0   23.94    2.39   0.397   0.366   0.370   0.388   0.391
 2026 042    28     225     105     106       0       0       5     169       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.312   0.372   0.372   0.388   0.391
 2026 043    29     223     103     106       0       0       5     169       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.293   0.357   0.372   0.388   0.391
 2026 044    30     221     101     106       0       0       5     169       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.287   0.346   0.371   0.387   0.390
 2026 045    31     228     108     125       0       0       6     200       0      60    1000    0.00     0.0     0.0   18.87    1.89   0.383   0.372   0.370   0.387   0.390
 2026 046    32     225     105     125       0       0       6     200       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.306   0.372   0.372   0.387   0.390
 2026 047    33     223     103     125       0       0       6     200       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.297   0.356   0.372   0.387   0.389
 2026 048    34     221     101     125       0       0       6     200       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.292   0.346   0.371   0.386   0.389
 2026 049    35     228     108     146       0       0       7     232       0      60    1000    0.00     0.0     0.0   20.49    2.05   0.377   0.372   0.370   0.386   0.389
 2026 050    36     225     105     146       0       0       7     232       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.311   0.371   0.372   0.386   0.388
 2026 051    37     222     102     146       0       0       7     232       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.299   0.356   0.372   0.386   0.388
 2026 052    38     221     101     146       0       0       7     232       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.293   0.347   0.371   0.386   0.388
 2026 053    39     229     109     165       0       0       8     263       0      60    1000    0.00     0.0     0.0   19.27    1.93   0.400   0.372   0.370   0.385   0.388
 2026 054    40     225     105     165       0       0       8     263       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.318   0.376   0.372   0.385   0.387
 2026 055    41     226     106     165       0       4       8     263       0      60    1000    0.01     0.0     0.0    0.00    0.00   0.368   0.362   0.372   0.385   0.387
 2026 056    42     224     104     165       0       4       8     263       0      60    1000    0.01     0.0     0.0    0.00    0.00   0.318   0.363   0.372   0.385   0.387
 2026 057    43     222     102     165       0       4       8     263       0      60    1000    0.01     0.0     0.0    0.00    0.00   0.300   0.353   0.372   0.385   0.387
 2026 058    44     229     109     186       0       4       9     295       0      60    1000    0.01     0.0     0.0   20.79    2.08   0.387   0.378   0.371   0.385   0.387
 2026 059    45     225     105     186       0       4       9     295       0      60    1000    0.01     0.0     0.0    0.00    0.00   0.307   0.376   0.373   0.385   0.387
 2026 060    46     223     103     186       0       4       9     295       0      60    1000    0.01     0.0     0.0    0.00    0.00   0.302   0.358   0.373   0.385   0.386
 2026 061    47     221     101     186       0       4       9     295       0      60    1000    0.01     0.0     0.0    0.00    0.00   0.298   0.349   0.372   0.385   0.386
 2026 062    48     227     107     210       0       4      10     331       0      60    1000    0.01     0.0     0.0   24.18    2.42   0.364   0.374   0.371   0.385   0.386
 2026 063    49     223     103     210       0       4      10     331       0      60    1000    0.01     0.0     0.0    0.00    0.00   0.304   0.368   0.372   0.385   0.386
 2026 064    50     222     102     210       0       4      10     331       0      60    1000    0.01     0.0     0.0    0.00    0.00   0.298   0.354   0.371   0.384   0.386
 2026 065    51     220     100     210       0       4      10     331       0      60    1000    0.01     0.0     0.0    0.00    0.00   0.293   0.345   0.370   0.384   0.386
 2026 066    52     227     107     232       0       4      11     364       0      60    1000    0.01     0.0     0.0   21.76    2.18   0.386   0.370   0.369   0.384   0.385
 2026 067    53     224     104     232       0       4      11     364       0      60    1000    0.01     0.0     0.0    0.00    0.00   0.310   0.371   0.371   0.384   0.385
 2026 068    54     221     101     232       0       5      11     364       0      60    1000    0.01     0.0     0.0    0.00    0.00   0.297   0.356   0.371   0.384   0.385
 2026 069    55     220     100     232       0       5      11     364       0      60    1000    0.01     0.0     0.0    0.00    0.00   0.291   0.346   0.370   0.383   0.385
 2026 070    56     219      99     232       0       5      11     364       0      60    1000    0.01     0.0     0.0    0.00    0.00   0.286   0.339   0.368   0.383   0.385
 2026 071    57     228     108     253       0       5      12     398       0      60    1000    0.01     0.0     0.0   21.01    2.10   0.431   0.365   0.367   0.383   0.385
 2026 072    58     224     104     253       0       5      12     398       0      60    1000    0.01     0.0     0.0    0.00    0.00   0.314   0.376   0.369   0.383   0.384
 2026 073    59     221     101     253       0       5      12     398       0      60    1000    0.01     0.0     0.0    0.00    0.00   0.288   0.359   0.369   0.383   0.384
 2026 074    60     219      99     253       0       5      12     398       0      60    1000    0.01     0.0     0.0    0.00    0.00   0.283   0.346   0.368   0.382   0.384
 2026 075    61     227     107     276       0       8      13     430       0      60    1000    0.01     0.0     0.0   22.77    2.28   0.390   0.371   0.367   0.382   0.384
 2026 076    62     225     105     276       0      11      13     430       0      60    1000    0.01     0.0     0.0    0.00    0.00   0.322   0.382   0.371   0.382   0.384
 2026 077    63     225     105     276       0      16      13     430       0      60    1000    0.01     0.0     0.0    0.00    0.00   0.344   0.368   0.374   0.382   0.384
 2026 078    64     226     106     276       0      22      13     430       0      60    1000    0.02     0.0     0.0    0.00    0.00   0.346   0.374   0.374   0.382   0.383
 2026 079    65     231     111     276       0      31      13     430       0      60    1000    0.02     0.0     0.0    0.22    0.02   0.408   0.388   0.379   0.383   0.383
 2026 080    66     235     115     283       0      44      13     430       0      60    1000    0.02     0.0     0.0    6.91    0.64   0.432   0.397   0.388   0.383   0.383
 2026 081    67     232     112     283       0      46      13     430       0      60    1000    0.02     0.0     0.0    0.00    0.00   0.344   0.399   0.393   0.388   0.384
 2026 082    68     228     108     283       0      46      13     430       0      60    1000    0.02     0.0     0.0    0.00    0.00   0.301   0.378   0.393   0.392   0.384
 2026 083    69     226     106     283       0      46      13     430       0      60    1000    0.02     0.0     0.0    0.00    0.00   0.299   0.361   0.388   0.393   0.385
 2026 084    70     232     112     302       0      47      14     460       0      60    1000    0.02     0.0     0.0   19.35    1.93   0.376   0.385   0.387   0.392   0.386
 2026 085    71     228     108     302       0      47      14     460       0      60    1000    0.02     0.0     0.0    0.00    0.00   0.308   0.380   0.388   0.392   0.386
 2026 086    72     226     106     302       0      49      14     460       0      60    1000    0.02     0.0     0.0    0.00    0.00   0.306   0.362   0.385   0.392   0.387
 2026 087    73     229     109     302       0      56      14     460       0      60    1000    0.02     0.0     0.0    0.00    0.00   0.374   0.365   0.382   0.392   0.387
 2026 088    74     228     108     302       0      58      14     460       0      60    1000    0.02     0.0     0.0    0.00    0.00   0.333   0.376   0.382   0.391   0.388
 2026 089    75     230     110     302       0      65      14     460       0      60    1000    0.02     0.0     0.0    0.00    0.00   0.367   0.375   0.384   0.391   0.388
 2026 090    76     232     112     302       0      70      14     460       0      60    1000    0.02     0.0     0.0    0.00    0.00   0.383   0.382   0.386   0.391   0.388
 2026 091    77     231     111     331       0      70      15     496       0      60    1000    0.03     0.0     0.0   28.65    2.86   0.328   0.392   0.392   0.391   0.389
 2026 092    78     228     108     331       0      71      15     496       0      60    1000    0.03     0.0     0.0    0.00    0.00   0.307   0.370   0.391   0.394   0.389
 2026 093    79     226     106     331       0      72      15     496       0      60    1000    0.03     0.0     0.0    0.00    0.00   0.305   0.357   0.387   0.393   0.389
 2026 094    80     225     105     331       0      72      15     496       0      60    1000    0.03     0.0     0.0    0.00    0.00   0.301   0.350   0.383   0.393   0.390
 2026 095    81     233     113     356       0      72      16     532       0      60    1000    0.03     0.0     0.0   25.15    2.51   0.423   0.377   0.381   0.393   0.390
 2026 096    82     229     109     356       0      73      16     532       0      60    1000    0.03     0.0     0.0    0.00    0.00   0.311   0.382   0.383   0.392   0.390
 2026 097    83     234     114     356       0      84      16     532       0      60    1000    0.03     0.0     0.0    0.00    0.00   0.379   0.391   0.390   0.392   0.390
 2026 098    84     237     117     361       0      97      16     532       0      60    1000    0.03     0.0     0.0    5.66    0.53   0.403   0.400   0.395   0.397   0.391
 2026 099    85     242     122     401       0     143      16     532       0      60    1000    0.03     0.0     0.0   39.94    2.74   0.440   0.406   0.399   0.402   0.393
 2026 100    86     240     120     405       0     151      16     532       0      60    1000    0.03     0.0     0.0    3.68    0.36   0.365   0.408   0.403   0.406   0.398
 2026 101    87     234     114     405       2     151      16     532       0      60    1000    0.03     0.0     0.0    0.00    0.00   0.300   0.389   0.397   0.403   0.400
 2026 102    88     231     111     405       3     151      16     532       0      60    1000    0.03     0.0     0.0    0.00    0.00   0.305   0.364   0.392   0.402   0.400
 2026 103    89     229     109     405       3     151      16     532       0      60    1000    0.03     0.0     0.0    0.00    0.00   0.302   0.353   0.388   0.401   0.400
 2026 104    90     227     107     405       3     151      16     532       0      60    1000    0.04     0.0     0.0    0.00    0.00   0.298   0.346   0.384   0.401   0.400
 2026 105    91     226     106     405       3     152      16     532       0      60    1000    0.04     0.0     0.0    0.00    0.00   0.293   0.340   0.380   0.400   0.400
 2026 106    92     226     106     405       3     155      16     532       0      60    1000    0.04     0.0     0.0    0.00    0.00   0.317   0.336   0.378   0.398   0.400
 2026 107    93     225     105     405       3     156      16     532       0      60    1000    0.04     0.0     0.0    0.00    0.00   0.325   0.335   0.375   0.397   0.399
 2026 108    94     229     109     431       3     157      17     568       0      60    1000    0.04     0.0     0.0   26.15    2.61   0.354   0.360   0.373   0.396   0.399
 2026 109    95     225     105     431       3     157      17     568       0      60    1000    0.05     0.0     0.0    0.00    0.00   0.288   0.356   0.373   0.395   0.398
 2026 110    96     223     103     431       3     157      17     568       0      60    1000    0.05     0.0     0.0    0.00    0.00   0.277   0.343   0.371   0.394   0.398
 2026 111    97     221     101     431       3     157      17     568       0      60    1000    0.05     0.0     0.0    0.00    0.00   0.269   0.334   0.370   0.393   0.397
 2026 112    98     227     107     454       3     157      18     604       0      60    1000    0.04     0.0     0.0   23.06    2.31   0.351   0.358   0.368   0.392   0.396
 2026 113    99     223     103     454       3     157      18     604       0      60    1000    0.04     0.0     0.0    0.00    0.00   0.284   0.352   0.368   0.391   0.396
 2026 114   100     220     100     454       3     157      18     604       0      60    1000    0.04     0.0     0.0    0.00    0.00   0.273   0.339   0.367   0.390   0.395
 2026 115   101     218      98     454       3     157      18     604       0      60    1000    0.04     0.0     0.0    0.00    0.00   0.264   0.330   0.365   0.390   0.394
 2026 116   102     226     106     477       3     157      19     640       0      60    1000    0.04     0.0     0.0   22.67    2.27   0.378   0.355   0.364   0.389   0.394
 2026 117   103     227     107     477       3     161      19     640       0      60    1000    0.06     0.0     0.0    0.00    0.00   0.358   0.373   0.365   0.388   0.393
 2026 118   104     232     112     485       3     178      19     640       0      60    1000    0.06     0.0     0.0    8.28    0.78   0.417   0.386   0.373   0.388   0.392
 2026 119   105     235     115     506       3     205      19     640       0      60    1000    0.06     0.0     0.0   20.74    1.74   0.430   0.394   0.383   0.388   0.392
 2026 120   106     236     116     530       3     233      19     640       0      60    1000    0.06     0.0     0.0   23.61    1.93   0.400   0.400   0.393   0.389   0.391
 2026 121   107     238     118     538       3     248      19     640       0      60    1000    0.06     0.0     0.0    8.88    0.83   0.398   0.405   0.397   0.396   0.391
 2026 122   108     239     119     539       3     256      19     640       0      60    1000    0.06     0.0     0.0    0.89    0.09   0.377   0.407   0.401   0.402   0.393
 2026 123   109     241     121     540       3     264      19     640       0      60    1000    0.06     0.0     0.0    0.94    0.09   0.378   0.409   0.404   0.406   0.399
 2026 124   110     239     119     540       3     268      19     640       0      59    1000    0.06     0.0     0.0    0.00    0.00   0.327   0.403   0.405   0.410   0.403
 2026 125   111     241     121     540       4     275      19     640       0      58    1000    0.07     0.0     0.0    0.00    0.00   0.378   0.385   0.404   0.412   0.407
 2026 126   112     237     117     540       5     278      19     640       0      58    1000    0.07     0.0     0.0    0.00    0.00   0.310   0.386   0.400   0.411   0.408
 2026 127   113     242     122     542       6     290      19     640       0      58    1000    0.07     0.0     0.0    1.20    0.12   0.384   0.396   0.400   0.411   0.409
 2026 128   114     238     118     542       7     294      19     640       0      58    1000    0.07     0.0     0.0    0.00    0.00   0.314   0.396   0.400   0.411   0.410
 2026 129   115     240     120     542       8     302      19     640       0      57    1000    0.07     0.0     0.0    0.00    0.00   0.367   0.380   0.400   0.411   0.410
 2026 130   116     239     119     542       9     308      19     640       0      57    1000    0.07     0.0     0.0    0.00    0.00   0.350   0.385   0.398   0.410   0.410
 2026 131   117     236     116     542      10     312      19     640       0      58    1000    0.07     0.0     0.0    0.00    0.00   0.328   0.377   0.396   0.409   0.410
 2026 132   118     231     111     542      11     312      19     640       0      58    1000    0.08     0.0     0.0    0.00    0.00   0.287   0.364   0.390   0.406   0.408
 2026 133   119     231     111     542      11     317      19     640       0      58    1000    0.08     0.0     0.0    0.00    0.00   0.332   0.352   0.386   0.403   0.406
 2026 134   120     234     114     551      12     336      19     640       0      59    1000    0.08     0.0     0.0    9.18    0.87   0.366   0.377   0.383   0.401   0.404
 2026 135   121     236     116     552      12     345      19     640       0      59    1000    0.08     0.0     0.0    1.12    0.11   0.356   0.389   0.389   0.400   0.403

*DSSAT Cropping System Model Ver. 4.8.6.000 -Release  SEP 21, 2026 21:32:41

*RUN   2        : Safe-AWD                  RICER048 BDAR2601    2
 MODEL          : RICER048 - Rice
 EXPERIMENT     : BDAR2601 RI BORO RICE CF VS AWD (ARONGHATA)
 DATA PATH      : C:\DSSAT48\Rice\
 TREATMENT  2   : Safe-AWD                  RICER048
  
!                                                                                                                                         Soil water content (mm3/mm3) by layer (cm):
!                                                                                                                                           0-5    5-15   15-30   30-45   45-60
@YEAR DOY   DAS    SWTD    SWXD    ROFC    DRNC    PREC    IR#C    IRRC   LATFC    DTWT   DTWTM    MWTD    TDFD    TDFC    ROFD    ROSD    SW1D    SW2D    SW3D    SW4D    SW5D
 2026 014     0     236     116       0       0       0       0       0       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.380   0.380   0.390   0.400   0.400
 2026 015     1     233     113       0       0       0       0       0       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.320   0.380   0.390   0.400   0.400
 2026 016     2     229     109       0       0       0       0       0       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.292   0.366   0.388   0.400   0.400
 2026 017     3     226     106       0       0       0       0       0       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.255   0.355   0.386   0.399   0.400
 2026 018     4     224     104       0       0       0       0       0       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.252   0.346   0.383   0.399   0.400
 2026 019     5     223     103       0       0       0       0       0       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.251   0.339   0.380   0.398   0.400
 2026 020     6     233     113      20       0       0       1      34       0      60    1000    0.00     0.0     0.0   20.27    2.03   0.411   0.367   0.378   0.397   0.399
 2026 021     7     230     110      20       0       0       1      34       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.330   0.377   0.380   0.397   0.399
 2026 022     8     227     107      20       0       0       1      34       0      60    1000    0.00     0.0     0.0    0.00    0.00   0.292   0.364   0.380   0.396   0.399
